Name,Exchange,Maker,Months,Quandl Code,Ticked
B,ICE,Brent Crude Futures,FGHJKMNQUVXZ,ICE/B,FALSE
T,ICE,WTI Crude Futures,FGHJKMNQUVXZ,ICE/T,FALSE
G,ICE,Gas Oil Futures,KMNQUVXZ,ICE/G,FALSE
ULS,ICE,Low Sulphur Gasoil Futures,FGHJKMNQUVXZ,ICE/ULS,FALSE
N,ICE,NYH RBOB Gasoline,FGHJKMNQUVXZ,ICE/N,FALSE
O,ICE,Heating Oil Futures,FGHJKMNQUVXZ,ICE/O,FALSE
M,ICE,UK Natural Gas Futures,FGHJKMNQUVXZ,ICE/M,FALSE
ATW,ICE,Rotterdam Coal Futures,FGHJKMNQUVXZ,ICE/ATW,FALSE
AFR,ICE,Richards Bay Coal Futures,FGHJKMNQUVXZ,ICE/AFR,FALSE
NCF,ICE,Newcastle Coal Futures,FGHJKMNQUVXZ,ICE/NCF,FALSE
C,ICE,ECX EUA Futures,HJKMUZ,ICE/C,FALSE
CEU,ICE,ECX EUAA Futures,HJKMUZ,ICE/CEU,FALSE
CER,ICE,ECX CER Emission Futures,HJKMUZ,ICE/CER,FALSE
ERU,ICE,ECX ERU Emission Futures,Z,ICE/ERU,FALSE
TIB,ICE,WTI vs Brent Spread Option,FGHJKMNQUVXZ,ICE/TIB,FALSE
BPB,ICE,Endex Belgian Power Base Load Futures,FGHJKMNQUVXZ,ICE/BPB,FALSE
DPB,ICE,Endex Dutch Power Base Load Futures,FGHJKMNQUVXZ,ICE/DPB,FALSE
DPA,ICE,Endex Dutch Power Peak Load (8-20) Futures,FGHJKMNQUVXZ,ICE/DPA,FALSE
TFM,ICE,Endex Dutch TTF Gas Base Load Futures,FGHJKMNQUVXZ,ICE/TFM,FALSE
GNM,ICE,Endex German NCG Futures,FGHJKMNQUVXZ,ICE/GNM,FALSE
GER,ICE,Endex German GASPOOL Futures,FGHJKMNQUVXZ,ICE/GER,FALSE
CC,ICE,Cocoa Futures,HKNUZ,ICE/CC,FALSE
KC,ICE,Coffee C Futures,HKNUZ,ICE/KC,FALSE
CT,ICE,Cotton No. 2 Futures,HKNVZ,ICE/CT,FALSE
OJ,ICE,Orange Juice Futures,FHKNUX,ICE/OJ,FALSE
SB,ICE,Sugar No. 11 Futures,HKNV,ICE/SB,FALSE
SF,ICE,Sugar No. 16 Futures,FHKNUX,ICE/SF,FALSE
ICN,ICE,Corn Futures,HKNUZ,ICE/ICN,FALSE
IS,ICE,Soybean Futures,FHKNQUX,ICE/IS,FALSE
ISM,ICE,Soybean Meal futures,FHKNQUVZ,ICE/ISM,FALSE
IBO,ICE,Soybean Oil Futures,FHKNQUVZ,ICE/IBO,FALSE
IW,ICE,Wheat Futures,HKNUZ,ICE/IW,FALSE
RS,ICE,Canola Futures,FHKNX,ICE/RS,FALSE
BW,ICE,Barley Futures,HKNVZ,ICE/BW,FALSE
DW,ICE,Durum Wheat Futures,HKNVZ,ICE/DW,FALSE
WA,ICE,Milling Wheat Futures,HKNVZ,ICE/WA,FALSE
RF,ICE,Russell 1000 Index Mini Futures,MUZ,ICE/RF,FALSE
TF,ICE,Russell 2000 Index Mini Futures,MUZ,ICE/TF,FALSE
DX,ICE,US Dollar Index Futures,MUZ,ICE/DX,FALSE
SS,ICE,GBP/CHF Futures,MUZ,ICE/SS,FALSE
SY,ICE,GBP/JPY Futures,MUZ,ICE/SY,FALSE
MP,ICE,Sm GBP/USD Futures,MUZ,ICE/MP,FALSE
RV,ICE,Russell 1000 Value Index Futures,MUZ,ICE/RV,FALSE
RG,ICE,Russell 1000 Growth Index Futures,MUZ,ICE/RG,FALSE
P,ICE,UK Peak Electricity Futures,MUZ,ICE/P,FALSE
Y,ICE,UK Base Electricity Futures,MUZ,ICE/Y,FALSE
AR,ICE,AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES,MUZ,ICE/AR,FALSE
ZJ,ICE,New Zealand Dollar/Japanese Yen Futures,MUZ,ICE/ZJ,FALSE
NJ,ICE, Norwegian Krone/Swedish Krona Futures,MUZ,ICE/NJ,FALSE
KRU,ICE,Russian Ruble/US Dollar Futures,MUZ,ICE/KRU,FALSE
ZR,ICE,US Dollar/South African Rand Futures,MUZ,ICE/ZR,FALSE
NT,ICE,US Dollar/Norwegian Krone Futures,MUZ,ICE/NT,FALSE
