Name,Exchange,Maker,Months,Contracts,Code,Ticked
0D,CME,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,5,CHRIS/CME_0D,FALSE
0F,CME,Mini Singapore Fuel Oil 180 cst (Platts),HJKMNQUVXZ,2,CHRIS/CME_0F,FALSE
1MF,SGX,Platts Singapore Fuel Oil 180cst Index,FGHJKMNQUVXZ,3,CHRIS/SGX_1MF,FALSE
1N,CME,Singapore Mogas 92 Unleaded (Platts),FGHJKMNQUVXZ,4,CHRIS/CME_1N,FALSE
1NB,CME,Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread,HJKMNQU,4,CHRIS/CME_1NB,FALSE
1R,CME,Propane Non-LDH Mont Belvieu (OPIS),FGHJKMNQUVXZ,2,CHRIS/CME_1R,FALSE
1U,CME,NY Jet Fuel (Platts) vs. NY Harbor ULSD,HJKMNQU,4,CHRIS/CME_1U,FALSE
3MF,SGX,Platts Singapore Fuel Oil 380cst Index,FGHJKMNQUVXZ,2,CHRIS/SGX_3MF,FALSE
46,CME,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,12,CHRIS/CME_46,FALSE
47,CME,PJM METED Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_47,FALSE
4L,CME,NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP,HJKMNQUVXZ,2,CHRIS/CME_4L,FALSE
4M,CME,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP,HJKMNQUVXZ,10,CHRIS/CME_4M,FALSE
4N,CME,PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_4N,FALSE
4P,CME,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,16,CHRIS/CME_4P,FALSE
58,CME,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP,FGHJKMNQUVXZ,12,CHRIS/CME_58,FALSE
5C,CME,Chicago ULSD (Platts) vs. NY Harbor ULSD,FGHJKMNQUVXZ,2,CHRIS/CME_5C,FALSE
